complexity,cost,feature_cost
11.0,0.0,0.08251095400959053
10.0,0.24102,0.2236819405913644
13.0,0.24102,0.26180159560180993
12.0,0.24102,0.2867811688582624
11.0,0.194444,0.12594203642361954
9.0,0.194444,0.16110010243942613
11.0,0.538051,0.33549735846722495
11.0,0.24102,0.15213833454902267
9.0,0.482039,0.2691186030822388
10.0,0.482039,0.33769324325688266
10.0,0.435464,0.20746144008133321
10.0,0.77907,0.40342088856437514
11.0,0.24102,0.19172314590120812
10.0,0.435464,0.24704625143351866
11.0,0.24102,0.1794042501957619
11.0,0.482039,0.36495915890362185
7.0,0.482039,0.3266499838353768
12.0,0.24102,0.1794042501957619
10.0,0.482039,0.296384518728978
11.0,0.482039,0.3952246240100207
