complexity,cost,feature_cost
14.0,0.0761,0.01780593249783584
11.0,0.09132,0.01780593249783584
15.0,0.0761,0.01780593249783584
13.0,0.09132,0.01780593249783584
15.0,0.0761,0.01780593249783584
13.0,0.09132,0.01780593249783584
12.0,0.0761,0.01780593249783584
9.0,0.09132,0.01780593249783584
6.0,0.12176,0.03043944265809217
21.0,0.056326,0.0
20.0,0.071546,0.0
20.0,0.056326,0.007609860664523043
23.0,0.071546,0.012061343788982002
20.0,0.056326,0.007609860664523043
18.0,0.056326,0.015219721329046086
23.0,0.071546,0.012061343788982002
20.0,0.071546,0.0
19.0,0.086766,0.0
24.0,0.071546,0.00890296624891792
24.0,0.071546,0.00890296624891792
17.0,0.086766,0.015219721329046086
20.0,0.056326,0.007609860664523043
19.0,0.056326,0.015219721329046086
19.0,0.071546,0.007609860664523043
23.0,0.071546,0.016512826913440963
23.0,0.071546,0.012061343788982002
21.0,0.086766,0.012061343788982002
20.0,0.071546,0.0
19.0,0.086766,0.0
20.0,0.071546,0.007609860664523043
23.0,0.086766,0.012061343788982002
21.0,0.071546,0.00890296624891792
19.0,0.071546,0.016512826913440963
20.0,0.056326,0.007609860664523043
19.0,0.056326,0.015219721329046086
17.0,0.056326,0.015219721329046086
19.0,0.071546,0.007609860664523043
18.0,0.071546,0.016512826913440963
19.0,0.071546,0.007609860664523043
16.0,0.071546,0.015219721329046086
23.0,0.071546,0.016512826913440963
23.0,0.071546,0.012061343788982002
22.0,0.086766,0.012061343788982002
21.0,0.086766,0.012061343788982002
20.0,0.071546,0.0
20.0,0.071546,0.007609860664523043
19.0,0.071546,0.007609860664523043
18.0,0.086766,0.0
19.0,0.086766,0.00890296624891792
19.0,0.086766,0.0
17.0,0.101986,0.0
23.0,0.086766,0.012061343788982002
21.0,0.086766,0.012061343788982002
21.0,0.071546,0.00890296624891792
19.0,0.071546,0.016512826913440963
18.0,0.071546,0.016512826913440963
19.0,0.086766,0.00890296624891792
16.0,0.086766,0.01780593249783584
20.0,0.071546,0.0
18.0,0.086766,0.0
19.0,0.071546,0.007609860664523043
21.0,0.086766,0.012061343788982002
19.0,0.071546,0.007609860664523043
17.0,0.071546,0.015219721329046086
22.0,0.086766,0.012061343788982002
19.0,0.086766,0.0
16.0,0.101986,0.0
22.0,0.086766,0.00890296624891792
23.0,0.086766,0.00890296624891792
15.0,0.101986,0.015219721329046086
