complexity,cost,freqs,feature_complexity,feature_cost
14.0,0.247073,,20,0.17250199638398542
15.0,0.247073,,21,0.26641036341220514
13.0,0.218192,,21,0.13410001611410882
13.0,0.565194,,18,0.3470053837488827
16.0,0.0,,24,0.05776113643321409
14.0,0.218192,,20,0.12361519402483712
14.0,0.0,,20,0.08256604997562027
15.0,0.0,,24,0.08256604997562027
13.0,0.218192,,21,0.16408605748746447
14.0,0.0,,24,0.05258000860226464
15.0,0.247073,,24,0.24707277558835494
14.0,0.0,,20,0.08256604997562025
14.0,0.0,,24,0.07738492214467081
15.0,0.247073,,21,0.2912152769546113
15.0,0.247073,,21,0.1918395842078356
15.0,0.247073,,21,0.21664449775024175
14.0,0.0,,20,0.05258000860226464
13.0,0.247073,,16,0.17250199638398542
13.0,0.0,,16,0.08256604997562025
12.0,0.0,,16,0.07738492214467081
13.0,0.247073,,14,0.21664449775024178
16.0,0.247073,,21,0.26641036341220514
14.0,0.247073,,17,0.2912152769546113
13.0,0.218192,,21,0.13410001611410882
12.0,0.218192,,17,0.16408605748746447
14.0,0.565194,,18,0.3470053837488827
14.0,0.281808,,20,0.11282956841988309
12.0,0.528881,,16,0.23275155620160387
14.0,0.528881,,20,0.3073223354059734
12.0,0.5,,16,0.1786836260115061
12.0,0.847002,,14,0.37726890219314557
14.0,0.281808,,18,0.1479109879168554
12.0,0.5,,14,0.2137650455084784
13.0,0.281808,,21,0.14114248840568455
13.0,0.528881,,21,0.33563525539177486
13.0,0.528881,,18,0.2876975481906586
13.0,0.281808,,21,0.14114248840568455
12.0,0.528881,,17,0.2610644761874053
14.0,0.528881,,18,0.3622683273950282
10.0,0.5,,13,0.2282934530963185
10.0,0.847002,,15,0.4483595430292713
12.0,0.281808,,21,0.12780183938844827
11.0,0.5,,17,0.19365589698007132
11.0,0.281808,,17,0.15260675293085446
12.0,0.281808,,21,0.15260675293085446
9.0,0.5,,18,0.23412676044269864
12.0,0.281808,,21,0.15260675293085446
12.0,0.281808,,21,0.17741166647326062
11.0,0.281808,,17,0.15260675293085446
9.0,0.281808,,13,0.17741166647326062
11.0,0.5,,18,0.23412676044269864
11.0,0.563616,,17,0.21285631274847291
9.0,0.781808,,13,0.27871037034009594
9.0,0.563616,,18,0.24116923273427437
11.0,0.563616,,18,0.24116923273427437
7.0,0.781808,,10,0.32832019742490826
11.0,0.0,,20,0.023216915201944653
11.0,0.281808,,16,0.10827138856196927
14.0,0.247073,,20,0.21770968218803496
10.0,0.247073,,16,0.14313890298366544
11.0,0.615719,,14,0.2965516817922732
10.0,0.0,,16,0.053202956575300275
8.0,0.247073,,12,0.17312494435702105
14.0,0.0,,20,0.053202956575300275
12.0,0.247073,,20,0.24769572356139058
11.0,0.281808,,14,0.15579813968381107
13.0,0.0,,20,0.048021828744350833
12.0,0.281808,,16,0.13307630210437546
13.0,0.247073,,17,0.2618521835542913
13.0,0.247073,,17,0.1872814043499218
8.0,0.615719,,14,0.35401071916015625
13.0,0.0,,20,0.053202956575300275
12.0,0.247073,,16,0.17312494435702105
13.0,0.0,,20,0.08318899794865589
14.0,0.0,,20,0.07800787011770645
14.0,0.247073,,17,0.2172674457232774
